style	size	char	x	y	width	height	advance	bearing_x	bearing_y	baseline	ink	ascent	descent
R	20	20	4	4	1	1	4	0	0	19	0	24	6
R	20	21	9	4	4	16	6	1	-16	19	1	24	6
R	20	22	17	4	7	6	9	1	-16	19	1	24	6
R	20	23	28	4	11	15	11	0	-15	19	1	24	6
R	20	24	43	4	9	19	11	1	-17	19	1	24	6
R	20	25	56	4	18	15	18	0	-15	19	1	24	6
R	20	26	78	4	14	15	14	0	-15	19	1	24	6
R	20	27	96	4	3	6	6	1	-16	19	1	24	6
R	20	28	103	4	5	21	7	1	-17	19	1	24	6
R	20	29	112	4	5	21	7	0	-17	19	1	24	6
R	20	2A	121	4	7	7	9	1	-16	19	1	24	6
R	20	2B	132	4	11	11	11	0	-13	19	1	24	6
R	20	2C	147	4	4	7	6	1	-3	19	1	24	6
R	20	2D	155	4	7	2	7	0	-7	19	1	24	6
R	20	2E	166	4	4	3	6	1	-3	19	1	24	6
R	20	2F	174	4	8	20	8	0	-16	19	1	24	6
R	20	30	186	4	10	15	11	1	-15	19	1	24	6
R	20	31	200	4	9	15	11	1	-15	19	1	24	6
R	20	32	213	4	11	15	11	0	-15	19	1	24	6
R	20	33	228	4	10	15	11	0	-15	19	1	24	6
R	20	34	242	4	11	15	11	0	-15	19	1	24	6
R	20	35	257	4	11	15	11	0	-15	19	1	24	6
R	20	36	272	4	10	15	11	1	-15	19	1	24	6
R	20	37	286	4	11	15	11	0	-15	19	1	24	6
R	20	38	301	4	11	15	11	0	-15	19	1	24	6
R	20	39	316	4	10	15	11	0	-15	19	1	24	6
R	20	3A	330	4	4	11	6	1	-11	19	1	24	6
R	20	3B	338	4	4	15	6	1	-11	19	1	24	6
R	20	3C	346	4	11	9	11	0	-12	19	1	24	6
R	20	3D	361	4	11	7	11	0	-11	19	1	24	6
R	20	3E	376	4	11	9	11	0	-12	19	1	24	6
R	20	3F	391	4	9	16	9	0	-16	19	1	24	6
R	20	40	404	4	17	19	19	1	-15	19	1	24	6
R	20	41	425	4	13	15	12	0	-15	19	1	24	6
R	20	42	442	4	11	15	13	2	-15	19	1	24	6
R	20	43	457	4	11	15	13	1	-15	19	1	24	6
R	20	44	472	4	11	15	14	2	-15	19	1	24	6
R	20	45	487	4	9	15	12	2	-15	19	1	24	6
R	20	46	500	4	9	15	11	2	-15	19	1	24	6
R	20	47	513	4	12	15	14	1	-15	19	1	24	6
R	20	48	529	4	11	15	15	2	-15	19	1	24	6
R	20	49	544	4	2	15	6	2	-15	19	1	24	6
R	20	4A	550	4	9	15	11	0	-15	19	1	24	6
R	20	4B	563	4	11	15	13	2	-15	19	1	24	6
